case_id,mode,t0_accuracy,t1_accuracy,retrieval_precision,autonomy_flag
climate_drought_response,MODE_A_FULL,1.0,1.0,1.0,True
macro_trade_to_recession,MODE_A_FULL,0.0,1.0,1.0,True
relationship_repair_after_stress,MODE_A_FULL,1.0,1.0,1.0,True
film_buzz_frontload,MODE_A_FULL,0.0,0.0,1.0,True
climate_drought_response,MODE_B_AMNESIC,1.0,1.0,0.0,False
macro_trade_to_recession,MODE_B_AMNESIC,0.0,0.0,0.0,False
relationship_repair_after_stress,MODE_B_AMNESIC,1.0,1.0,0.0,False
film_buzz_frontload,MODE_B_AMNESIC,0.0,0.0,0.0,False
climate_drought_response,MODE_C_HASH,1.0,1.0,1.0,True
macro_trade_to_recession,MODE_C_HASH,0.0,0.0,1.0,True
relationship_repair_after_stress,MODE_C_HASH,1.0,1.0,1.0,True
film_buzz_frontload,MODE_C_HASH,0.0,0.0,1.0,True
climate_drought_response,MODE_D_LLMONLY,1.0,1.0,0.0,False
macro_trade_to_recession,MODE_D_LLMONLY,0.0,1.0,0.0,False
relationship_repair_after_stress,MODE_D_LLMONLY,0.0,1.0,0.0,False
film_buzz_frontload,MODE_D_LLMONLY,1.0,1.0,0.0,False
